hold_days,exit_price,exit_reason,pnl_pct,max_profit,max_drawdown,stock_code,signal_date,signal_type,entry_price,wave_gain,consolidation_drawdown,industry,sector_momentum,sector_strong,market_regime,index_code,_hold_bin
11,6.4778,stop_loss,-0.09905424200278166,0.013908205841446404,-0.10848400556328236,sh.600084,2026-03-06,bullish_engulfing,7.19,0.27766236257945653,0.15796178343949036,银行/金融,0.0007623308611444349,False,bear,sh.000300,11天+
9,6.4778,stop_loss,-0.09274509803921561,0.021008403361344588,-0.10224089635854336,sh.600084,2026-03-10,bullish_engulfing,7.14,0.27766236257945653,0.15796178343949036,银行/金融,0.0007623308611444349,False,bear,sh.000300,6-10天
11,4.7432,stop_loss,-0.04945891783567141,0.004008016032064043,-0.05410821643286582,sh.600094,2026-02-03,big_bullish_reversal,4.99,0.22883319570177774,0.07809523809523812,银行/金融,0.0007623308611444349,False,bear,sh.000300,11天+
7,4.7432,stop_loss,-0.04563380281690139,0.008048289738430591,-0.05030181086519115,sh.600094,2026-02-09,bullish_engulfing,4.97,0.22883319570177774,0.07809523809523812,银行/金融,0.0007623308611444349,False,range,sh.000300,6-10天
7,4.29,trailing_stop,0.12010443864229764,0.22454308093994785,-0.020887728459530044,sh.600103,2025-12-17,bullish_engulfing,3.83,0.1791078705607374,0.10173697270471467,银行/金融,0.0007623308611444349,False,range,sh.000300,6-10天
20,4.01,time_exit,-0.06960556844547561,0.08816705336426933,-0.11832946635730855,sh.600103,2025-12-24,bullish_engulfing,4.31,0.1791078705607374,0.10173697270471467,银行/金融,0.0007623308611444349,False,bull,sh.000300,11天+
20,3.88,time_exit,-0.13968957871396895,0.0,-0.1574279379157428,sh.600103,2025-12-25,anomaly_no_decline,4.51,0.1791078705607374,0.10173697270471467,银行/金融,0.0007623308611444349,False,bull,sh.000300,11天+
2,5.2,final,0.20930232558139544,0.20930232558139544,0.0,sh.600103,2026-04-17,anomaly_no_decline,4.3,0.16442635351752477,0.057692307692307744,银行/金融,0.0007623308611444349,False,bull,sh.000300,1-3天
1,5.2,final,0.09936575052854116,0.09936575052854116,0.0,sh.600103,2026-04-20,anomaly_no_decline,4.73,0.16442635351752477,0.057692307692307744,银行/金融,0.0007623308611444349,False,bull,sh.000300,1-3天
0,5.2,final,0.0,0.0,0.0,sh.600103,2026-04-21,anomaly_no_decline,5.2,0.16442635351752477,0.057692307692307744,银行/金融,0.0007623308611444349,False,bull,sh.000300,
6,20.12,trailing_stop,0.17523364485981308,0.3025700934579439,0.01985981308411214,sh.600105,2025-12-05,bullish_engulfing,17.12,0.24606281110834738,0.10526315789473677,银行/金融,0.0007623308611444349,False,bull,sh.000300,6-10天
5,20.12,trailing_stop,0.10915104740904082,0.22932745314222713,-0.023704520396912884,sh.600105,2025-12-08,anomaly_no_decline,18.14,0.24606281110834738,0.10526315789473677,银行/金融,0.0007623308611444349,False,bull,sh.000300,4-5天
3,20.12,trailing_stop,0.05175117616309472,0.16570831155253538,0.00784108729743869,sh.600105,2025-12-10,bullish_engulfing,19.13,0.24606281110834738,0.10526315789473677,银行/金融,0.0007623308611444349,False,bull,sh.000300,1-3天
14,25.1,trailing_stop,0.19296577946768073,0.3298479087452472,-0.11311787072243341,sh.600105,2025-12-11,anomaly_no_decline,21.04,0.24606281110834738,0.10526315789473677,银行/金融,0.0007623308611444349,False,range,sh.000300,11天+
13,25.1,trailing_stop,0.14716636197440597,0.27879341864716645,-0.1471663619744058,sh.600105,2025-12-12,anomaly_no_decline,21.88,0.24606281110834738,0.10526315789473677,银行/金融,0.0007623308611444349,False,bull,sh.000300,11天+
10,25.1,trailing_stop,0.2346286276438762,0.37629119527791455,-0.02606984751598611,sh.600105,2025-12-17,anomaly_no_decline,20.33,0.24606281110834738,0.10526315789473677,银行/金融,0.0007623308611444349,False,range,sh.000300,6-10天
10,25.1,trailing_stop,0.2346286276438762,0.37629119527791455,-0.02606984751598611,sh.600105,2025-12-17,anomaly_no_decline,20.33,0.2156951416255497,0.1471663619744058,银行/金融,0.0007623308611444349,False,range,sh.000300,6-10天
